"Kod"	"Överordnad kod"	"Titel"	"Alternativ titel"	"Beskrivning"	"Innefattar"	"Utesluter"	"Anmärkning"	"Bedömningsfaktor"
"d"	""	"AKTIVITETER OCH DELAKTIGHET"	""	"Aktivitet är en persons genomförande av en uppgift eller handling. Aktivitetsbegränsningar är svårigheter som en person kan ha vid genomförande av aktiviteter. Delaktighet är en persons engagemang i en livssituation. Delaktighetsinskränkningar är problem som en person kan ha i engagemang i livssituationer."	""	""	"Under uppväxten kan funktionsnedsättningar också ta sig uttryck i form av försenad eller långsam utveckling av aktiviteter och delaktighet"	"<div>För aktiviteter och delaktighet finns det fyra bedömningsfaktorer fördelat på två bedömningsfaktorer för kapacitet respektive genomförande. Bedömningsfaktorn är en generisk skala för att beskriva grad av svårighet gällande aktivitetsbegränsning eller delaktighetsinskränkning.</div><div><br></div><div><b>Grad av aktivitetsbegränsning eller delaktighetsinskränkning</b></div><div><ul><li>xxx.0 INGEN svårighet (ingen, frånvarande, försumbar,…)</li><li>xxx.1 LÄTT svårighet (lätt, låg,…)</li><li>xxx.2 MÅTTLIG svårighet (medel, ganska stor,…)</li><li>xxx.3 STOR svårighet (grav, hög, stor, extrem,…)</li><li>xxx.4 TOTAL svårighet (fullständig,…)</li><li>xxx.8 ej specificerad svårighet</li><li>xxx.9 ej tillämpbart</li></ul></div><div><div>Den första bedömningsfaktorn gäller genomförande, d.v.s. den beskriver vad en person gör i sin aktuella omgivning. EXEMPEL: xxx.1</div><div>Den andra bedömningsfaktorn gäller kapacitet utan assistans, d.v.s. den beskriver en persons förmåga att utföra en uppgift eller handling i en ”standardiserad miljö” utan assistans i form av hjälpmedel eller personligt stöd. EXEMPEL: xxx._ 1</div><div>Den tredje bedömningsfaktorn gäller kapacitet med assistans, d.v.s. den beskriver en persons förmåga att utföra en uppgift eller handling i en ”standardiserad miljö” med assistans i form av hjälpmedel eller personligt stöd. EXEMPEL: xxx._ _ 1</div><div>Den fjärde bedömningsfaktorn gäller genomförande utan assistans, d.v.s. den beskriver vad en person gör i sin aktuella omgivning utan assistans i form av hjälpmedel eller personligt stöd. EXEMPEL: xxx._ _ _ 1</div></div>"
"d1"	"d"	"Lärande och att tillämpa kunskap"	""	"Detta kapitel handlar om lärande, tillämpning av kunskap som är inlärd, tänkande, problemlösning och beslutsfattande"	""	""	""	""
"d110"	"d110-d129"	"Att se"	"Betrakta"	"Att avsiktlig använda synen för att uppfatta visuella stimuli såsom att titta på ett sportevenemang, på människor eller på barn som leker"	""	""	""	""
"d110-d129"	"d1"	"Att ha målinriktade sinnesupplevelser"	""	""	""	""	""	""
"d115"	"d110-d129"	"Att lyssna"	"Lyssna"	"Att avsiktligt använda hörseln för att uppfatta auditiva stimuli såsom att lyssna på radio, mänsklig röst, musik, en föreläsning, eller en historia som en annan person berättar"	""	""	""	""
"d120"	"d110-d129"	"Att ha andra målinriktade sinnesuplevelser"	""	"Att avsiktligt använda kroppens övriga grundläggande sinnen för att uppfatta stimuli såsom att beröra och känna ytstruktur, smaka på sötsaker eller lukta på blommor"	""	""	""	""
"d1200"	"d120"	"Att undersöka med munnen"	"Undersöka med munnen"	"Att utforska föremål genom att känna på dem med mun eller läppar"	""	""	""	""
"d1201"	"d120"	"Att undersöka med känseln"	"Undersöka med känseln"	"Att utforska föremål genom att känna på dem med händer, fingrar eller andra kroppsdelar"	""	"att undersöka med munnen (d1200)"	""	""
"d1202"	"d120"	"Att lukta"	"Lukta"	"Att uppfatta föremål med luktsinnet genom att föra dem till näsan eller näsan till föremålen"	""	""	""	""
"d1203"	"d120"	"Att smaka"	"Smaka"	"Att utforska smaken på mat eller dryck genom att bita, tugga, suga"	""	""	""	""
"d1208"	"d120"	"Att ha andra målinriktade sinnesupplevelser, andra specificerade"	""	""	""	""	""	""
"d1209"	"d120"	"Att ha andra målinriktade sinnesupplevelser, ospecificerade"	""	""	""	""	""	""
"d129"	"d110-d129"	"Att ha målinriktade sinnesupplevelser, andra specificerade och ospecificerade"	""	""	""	""	""	""
"d130"	"d130-d159"	"Att härma"	"Härma"	"Att imitera eller härma som grundläggande komponent i lärandeprocessen såsom att efterlikna ett ansiktsuttryck, en gest, ett ljud eller bokstäverna i alfabetet"	""	""	""	""
"d130-d159"	"d1"	"Att skaffa kunskaper och färdigheter i grundläggande inlärning"	""	""	""	""	""	""
"d131"	"d130-d159"	"Att lära sig genom att utföra aktiviteter med föremål och personer"	""	"Att lära sig genom att utföra enkla handlingar med ett enda föremål, två eller flera föremål, relatera symboliskt till föremål, låtsas eller ersätta såsom, banka med klossar, leka med dockor eller bilar; rollspel"	""	"lek och spel (d9200), att bära, flytta och hantera föremål (d430-d449)"	""	""
"d1310"	"d131"	"Att lära sig genom att använda ett enda föremål"	""	"Att lära sig genom att utföra enkla handlingar med ett enda föremål eller en leksak genom att manipulera, banka, flytta, släppa etc."	""	""	""	""
"d1311"	"d131"	"Att lära sig genom att använda flera föremål tillsammans"	""	"Att lära sig genom att utföra enkla handlingar som rör två eller flera föremål, leksaker eller annat material utan hänsyn till de specifika egenskaperna hos föremålen, leksakerna eller materialen"	""	""	""	""
"d1312"	"d131"	"Att lära sig genom att använda flera föremål tillsammans på avsett sätt"	""	"Att lära sig genom att utföra handlingar rörande två eller flera föremål, leksaker eller material med avseende på specifika egenskap-er, t.ex. sätta lock på en låda, kopp på ett fat"	""	""	""	""
"d1313"	"d131"	"Att lära sig genom att använda föremål på ett symboliskt sätt"	""	"Att lära sig genom att använda föremål, leksaker eller material symboliskt, såsom att mata eller klä på en docka eller använda en simulerad miljö"	""	""	""	""
"d1314"	"d131"	"Att lära genom handlingar genom att låtsas eller ersätta (låtsaslek)"	"Låtsaslek"	"Att genomföra handlingar där man fantiserar, låter ett föremål, kroppsdel eller kroppsrörelse föreställa en situation eller händelse, såsom att låtsas att ett träblock är en bil eller låtsas att något är för varmt att äta"	""	""	""	""
"d1315"	"d131"	"Att lära sig genom att spela roller (rollspel)"	"Rollspel"	"Att genomföra handlingar där man låtsas vara någon eller något annat, inklusive att gå in och ut en roll och scenarioutveckling"	""	""	""	""
"d1318"	"d131"	"Att lära sig genom att utföra aktiviteter med föremål och personer, andra specificerade"	""	""	""	""	""	""
"d1319"	"d131"	"Att lära sig genom att utföra aktiviteter med föremål och personer, ospecificerade"	""	""	""	""	""	""
"d132"	"d130-d159"	"Att tillägna sig ett språk"	"Tillägna sig språk"	"Att utveckla förmågan att benämna personer, föremål, händelser och känslor med ord, symboler, fraser och meningar"	"återinlärning av språk"	"psykiska språkfunktioner (b167); att lära sig ytterligare ett språk (d133); kommunikation (d310-d399)"	""	""
"d1320"	"d132"	"Att lära sig enstaka ord eller meningsfulla symboler"	"Lära sig enstaka ord eller meningsfulla symboler"	"Att lära sig ord eller meningsfulla symboler såsom grafiska eller handskrivna tecken eller symboler"	""	""	""	""
"d1321"	"d132"	"Att lära sig ord eller meningsfulla symboler såsom grafiska eller manuella tecken eller symboler"	"Kombinera ord till fraser"	"Att lära sig att kombinera ord till fraser"	""	""	""	""
"d1322"	"d132"	"Att lära sig syntax"	"Lära sig syntax"	"Att lära sig att formulera korrekt uppbyggda meningar eller sekvenser av meningar"	""	""	""	""
"d1328"	"d132"	"Att tillägna sig ett språk, annat specificerat"	""	""	""	""	""	""
"d1329"	"d132"	"Att tillägna sig ett språk, ospecificerat"	""	""	""	""	""	""
"d133"	"d130-d159"	"Att lära sig ytterligare ett språk"	"Lära sig ytterligare ett språk"	"Att utveckla förmågan att benämna personer, föremål, händelser och känslor med ord, symboler, fraser och meningar i ytterligare ett språk såsom ett främmande språk eller teckenspråk"	""	"psykiska språkfunktioner (b167); att tillägna sig ett språk (d132); kommunikation (d310-d399)"	""	""
"d134"	"d130-d159"	"Att ta reda på information"	"Ta reda på information"	"Att ta reda på fakta om personer, föremål och händelser såsom att fråga varför, vad, var och hur, att fråga efter namn"	""	"att tillägna sig begrepp (d137); att förvärva färdigheter (d155)"	""	""
"d135"	"d130-d159"	"Att repetera"	"Repetera"	"Att upprepa en följd av händelser eller symboler som grundläggande komponent i lärandeprocessen såsom att räkna med tiotal eller att recitera ett rim med gester eller ackord på ett musikinstrument"	"fördröjd imitation av en handling eller beteende"	""	""	""
"d137"	"d130-d159"	"Att tillägna sig begrepp"	"Tillägna sig begrepp"	"Att utveckla förmåga att förstå och använda grundläggande och komplexa begrepp för det som kännetecknar saker, personer eller händelser"	""	""	""	""
"d1370"	"d137"	"Att tillägna sig grundläggande begrepp"	"Tillägna sig grundläggande begrepp"	"Att lära sig använda sådana begrepp som storlek, form, kvantitet, längd, likhet, motsats"	""	""	""	""
"d1371"	"d137"	"Att tillägna sig komplexa begrepp"	"Tillägna sig komplexa begrepp"	"Att lära sig använda sådana begrepp som klassificering, gruppering, ordningsföljd, omvänd ordningföljd (reversibilitet)"	""	""	""	""
"d1378"	"d137"	"Att tillägna sig begrepp, andra specificerade"	""	""	""	""	""	""
"d1379"	"d137"	"Att tillägna sig begrepp, ospecificerade"	""	""	""	""	""	""
"d140"	"d130-d159"	"Att lära sig läsa"	"Lära sig läsa"	"Att utveckla förmågan att på ett flytande och korrekt sätt läsa skriftligt material (inklusive punktskrift och andra symboler), såsom att känna igen tecken och bokstäver, att uttala skrivna ord med korrekt uttal och förstå skrivna ord och uttryck"	""	""	""	""
"d1400"	"d140"	"Att lära sig känna igen symboler"	"Lära sig känna igen symboler"	"Att lära sig grundläggande färdigheter för att tyda symboler såsom figurer, ikoner, tecken, bokstäver och ord"	""	""	""	""
"d1401"	"d140"	"Att lära sig uttala skrivna ord"	"Lära sig uttala skrivna ord"	"Att lära sig grundläggande färdigheter för att korrekt uttala tecken, bokstäver och ord"	""	""	""	""
"d1402"	"d140"	"Att lära sig förstå skrivna ord och fraser"	"Lära sig förstå skrivna ord och fraser"	"Att lära sig grundläggande färdigheter för att förstå innebörden i skrivna ord och texter"	""	""	""	""
"d1408"	"d140"	"Att lära sig läsa, annat specificerat"	""	""	""	""	""	""
"d1409"	"d140"	"Att lära sig läsa, ospecificerat"	""	""	""	""	""	""
"d145"	"d130-d159"	"Att lära sig skriva"	"Lära sig skriva"	"Att utveckla förmågan att framställa symboler som representerar ljud, ord eller fraser för att uttrycka mening, (inklusive punktskrift och andra symboler), såsom att stava riktigt och att använda korrekt grammatik"	""	""	""	""
"d1450"	"d145"	"Att lära sig använda skrivredskap"	"Lära sig använda skrivredskap"	"Att lära sig grundläggande färdigheter för att skriva symboler eller bokstäver, såsom att hålla en penna, krita eller pensel, skriva ett tecken eller en symbol på ett papper, använda brailleskrivare, tangentbord eller kringutrustning till dator (mus)"	""	""	""	""
"d1451"	"d145"	"Att lära sig skriva symboler, tecken och bokstäver"	"Lära sig skriva symboler, tecken och bokstäver"	"Att lära sig grundläggande färdigheter för att överföra ett ljud (morfem) till en symbol eller tecken (grafem)"	""	""	""	""
"d1452"	"d145"	"Att lära sig skriva ord och fraser"	"Lära sig skriva ord och fraser"	"Att lära sig grundläggande färdigheter för att överföra talade ord eller idéer till skrivna ord eller fraser"	""	""	""	""
"d1458"	"d145"	"Att lära sig skriva, annat specificerat"	""	""	""	""	""	""
"d1459"	"d145"	"Att lära sig skriva, ospecificerat"	""	""	""	""	""	""
"d150"	"d130-d159"	"Att lära sig räkna och beräkna"	"Lära sig räkna och beräkna"	"Att utveckla förmågan att hantera siffror och genomföra enkla och sammansatta matematiska beräkningar såsom att använda matematiska tecken för addition och subtraktion och att tillämpa korrekta matematiska beräkningar vid problemlösning"	""	""	""	""
"d1500"	"d150"	"Att lära sig grundläggande matematik"	"Lära sig grundläggande färdigheter i matematik"	"Att lära sig grundläggande matematik såsom räkning, nummerföljd och gruppering"	""	""	""	""
"d1501"	"d150"	"Att lära sig känna igen siffror, aritmetiska tecken och symboler"	"Lära sig känna igen siffror, aritmetiska tecken och symboler"	"Att lära sig känna igen och använda siffror"	""	""	""	""
"d1502"	"d150"	"Att lära sig utföra utföra grundläggande beräkningar"	"Lära sig utföra grundläggande beräkningar"	"Att lära sig att känna igen symboler för addition, subtraktion, multiplikation och division samt att lära sig använda dessa räknesätt"	""	""	""	""
"d1508"	"d150"	"Att lära sig räkna och beräkna, annat specificerat"	""	""	""	""	""	""
"d1509"	"d150"	"Att lära sig räkna och beräkna, ospecificerat"	""	""	""	""	""	""
"d155"	"d130-d159"	"Att förvärva färdigheter"	"Förvärva färdigheter"	"Att utveckla grundläggande och sammansatta förmågor att integrera handlingar eller uppgifter som att initiera och fullfölja förvärvandet av en färdighet såsom att hantera verktyg eller leksaker eller spela spel, t.ex. schack"	"att förvärva grundläggande och sammansatta färdigheter"	""	""	""
"d1550"	"d155"	"Att förvärva grundläggande färdigheter"	"Förvärva grundläggande färdigheter"	"Att lära elementära målinriktade handlingar såsom att lära sig att hantera enkla redskap, som pennor eller matbestick"	""	""	""	""
"d1551"	"d155"	"Att förvärva sammansatta färdigheter"	"Förvärva sammansatta färdigheter"	"Att lära integrerade uppsättningar av handlingar som att följa regler, ordna sina rörelser i en bestämd rörelsesekvens och koordinera sina rörelser, såsom att lära sig spela spel (t.ex. fotboll eller schack) eller att använda ett snickarverktyg"	""	""	""	""
"d1558"	"d155"	"Att förvärva färdigheter, andra specificerade"	""	""	""	""	""	""
"d1559"	"d155"	"Att förvärva färdigheter, ospecificerade"	""	""	""	""	""	""
"d159"	"d130-d159"	"Att skaffa kunskaper och färdigheter i grundläggande inlärning, andra specificerade och ospecificerade"	""	""	""	""	""	""
"d160"	"d160-d179"	"Att fokusera uppmärksamhet"	"Fokusera uppmärksamhet"	"Att avsiktligt fokusera på specifika stimuli t.ex. genom att filtrera bort störande ljud"	""	""	""	""
"d160-d179"	"d1"	"Att tillämpa kunskap"	""	""	""	""	""	""
"d1600"	"d160"	"Att fokusera uppmärksamhet på en person"	"Uppmärksamhet på en person"	"Att avsiktligt fokusera på kännetecken hos andra människor såsom deras ansikte, beröring eller röst"	""	""	""	""
"d1601"	"d160"	"Att fokusera uppmärksamhet på omgivningen"	"Uppmärksamhet på omgivningen"	"Att avsiktligt fokusera på företeelser i omgivningen såsom förändringar i kvalitet, kvantitet eller intensitet av fysiska eller sociala stimuli"	""	""	""	""
"d1608"	"d160"	"Att fokusera uppmärksamhet, annat specificerat"	""	""	""	""	""	""
"d1609"	"d160"	"Att fokusera uppmärksamhet, ospecificerat"	""	""	""	""	""	""
"d163"	"d160-d179"	"Att tänka"	"Tänka"	"Att formulera och hantera idéer, begrepp och bilder vare sig de är målinriktade eller ej, antingen ensam eller tillsammans med andra såsom att hitta på en historia, bevisa ett teorem, leka med idéer, komma på idéer, förmedla, fundera eller reflektera"	""	"att lösa problem (d175); att fatta beslut (d177)"	""	""
"d1630"	"d163"	"Att föreställa sig"	"Föreställa sig"	"Att bilda ett mentalt begrepp eller en bild som involverar personer, platser, saker eller händelser"	""	""	""	""
